title,price,locality
"2 BHK Apartment for Sale in Pethkar Siyona, Punawale, Pimpri Chinchwad Pune","₹
85.1 Lac",Pethkar Siyona
"2 BHK Apartment for Sale in Unique Legacy, Keshav Nagar Mundhwa Pune","₹
81 Lac",Unique Legacy
"4 BHK Apartment for Sale in Lodha Estilo, Kharadi Pune","₹
3.40 Cr",Lodha Estilo
"2 BHK Apartment for Sale in Kolte Patil Life Republic, Hinjawadi Pune","₹
75.2 Lac
₹7,254 per sqft",Kolte Patil Life Republic
"4 BHK Apartment for Sale in Godrej Elaris, Mundhwa Pune","₹
3.59 Cr",Godrej Elaris
"6 BHK Apartment for Sale in Kasturi The Balmoral Hillside, Baner Pune","₹
13.30 Cr",Kasturi The Balmoral Hillside
"3 BHK Apartment for Sale in The Gale at Godrej Park World, Hinjawadi Pune","₹
1.74 Cr",The Gale at Godrej Park World
"2 BHK Apartment for Sale in Nyati Era, Dhanori Pune","₹
87.1 Lac",Nyati Era
"3 BHK Apartment for Sale in Godrej Serene, Mamurdi, Dehu Road Pune","₹
94.4 Lac",Godrej Serene
"3 BHK Apartment for Sale in Imperio Towers by Miracle Group, Tathawade Pimpri Chinchwad Pune","₹
1.39 Cr",Imperio Towers by Miracle Group
"2 BHK Apartment for Sale in Ganga Asmi, Wakad Pune","₹
89 Lac",Ganga Asmi
"3 BHK Apartment for Sale in Kasturi Eon Homes, Hinjawadi Pune","₹
1.27 Cr",Kasturi Eon Homes
"4 BHK Apartment for Sale in Pride Montreal, Charholi BK Pune","₹
2.14 Cr",Pride Montreal
"3 BHK Apartment for Sale in Anshul Medora, Wagholi Pune","₹
70.9 Lac",Anshul Medora
"4 BHK Apartment for Sale in Nova Residency, Mundhwa Pune","₹
1.94 Cr",Nova Residency
"Office Space for Sale in Ceratec Tower 108, Balewadi Pune","₹
1.85 Cr
₹29,697 per sqft",Ceratec Tower 108
"2 BHK Apartment for Sale in Nyati Exuberance I, Undri Pune","₹
66.4 Lac
₹7,289 per sqft",Nyati Exuberance I
"3 BHK Apartment for Sale in Kamdhenu The Premia, Manjari BK Pune","₹
97 Lac",Kamdhenu The Premia
"3 BHK Apartment for Sale in Kumar Panache, Baner Pune","₹
1.32 Cr",Kumar Panache
"3 BHK Apartment for Sale in Merlin Ventana, Baner Pune","₹
1.74 Cr",Merlin Ventana
"4 BHK Apartment for Sale in Tulip Infinity Evana, Punawale, Pimpri Chinchwad Pune","₹
1.99 Cr",Tulip Infinity Evana
"Office Space for Sale in Rising High iBZ Hinjewadi , Phase 2 Hinjewadi Rajiv Gandhi Infotech Park Pune","₹
1.30 Cr
₹8,866 per sqft",Rising High iBZ Hinjewadi
"3 BHK Apartment for Sale in Lodha Altero, Wakad Pune","₹
2.46 Cr",Lodha Altero
"3 BHK Apartment for Sale in Raheja Vistas, Mahalunge Pune","₹
1.38 Cr",Raheja Vistas
"2 BHK Apartment for Sale in Mahalaxmi Zen Elite, Kharadi Pune","₹
1.61 Cr",Mahalaxmi Zen Elite
"2 BHK Apartment for Sale in Pethkar Siyona, Punawale, Pimpri Chinchwad Pune","₹
85.1 Lac",Pethkar Siyona
"4 BHK Apartment for Sale in ANP Universe, Balewadi Pune","₹
2.85 Cr",ANP Universe
"4 BHK Apartment for Sale in Goel Ganga Avanta, Magarpatta Road Pune","₹
2.41 Cr",Goel Ganga Avanta
"3 BHK Apartment for Sale in Ganga New Town, Dhanori Pune","₹
92.6 Lac",Ganga New Town
